transition_date,transition_hour,transport_type_id,road_type,line,transfer_type,number_of_passage,number_of_passenger,product_kind,transaction_type_desc,town,line_name,station_poi_desc_cd
2020-04-10,14,1,OTOYOL,USKUDAR-UNALAN MAHALLESI,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,SANCAKTEPE,11Ü,
2020-04-01,21,2,RAYLI,YENIKAPI - HACIOSMAN,Aktarma,1,1,INDIRIMLI1,Tam Aktarma,SARIYER,M2,SEYRANTEPE 2 DOGU
2020-04-22,7,1,OTOYOL,HADIMKOY TOKI-BAYRAMPASA METRO,Normal,4,4,INDIRIMLI1,Indirimli Abonman,FATIH,336H,
2020-04-01,14,1,OTOYOL,ZUMRUTEVLER - HUZUREVI-MALTEPE,Aktarma,1,1,TAM,Tam Aktarma,ATASEHIR,KM43,
2020-04-05,8,2,RAYLI,KABATAS-BAGCILAR,Normal,1,1,TAM,TekliBilet Tarifeli,GUNGOREN,T1,GUNGOREN
2020-04-04,14,2,RAYLI,TOPKAPI-HABIBLER,Aktarma,5,5,TAM,Tam Aktarma,GAZIOSMANPASA,T4,SAGMALCILAR
2020-04-16,15,1,OTOYOL,ORTACESME-UMRANIYE,Normal,25,24,UCRETSIZ,Ucretsiz,BAKIRKOY,11H,
2020-04-27,8,1,OTOYOL,KIRAC-AVCILAR METROBUS,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,429A,
2020-04-29,16,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,17,16,TAM,Tam Kontur,USKUDAR,34A,ACIBADEM
2020-04-02,14,1,OTOYOL,KADIKOY-CAKMAK MAH-ATASEHIR,Normal,56,48,TAM,Tam Kontur,BAKIRKOY,13,
2020-04-13,21,1,OTOYOL,SULTANBEYLI-UMRANIYE,Normal,21,19,TAM,Tam Kontur,BAKIRKOY,131,
2020-04-25,6,1,OTOYOL,SARIYER - KABATAS,Normal,2,2,TAM,Tam Kontur,SARIYER,25E,
2020-04-04,18,3,DENİZ,Y.KADIKOY-EMINONU,Normal,18,17,TAM,Tam Kontur,KADIKOY,Y.KADIKOY-EMN,KADIKOY YENI
2020-04-13,20,1,OTOYOL,KARADENIZ MAH./ GUMUSSUYU,Normal,3,3,TAM,Tam Kontur,SARIYER,38KT,
2020-04-08,9,2,RAYLI,KIRAZLI-BASAKSEHIR/METROKENT,Aktarma,1,1,TAM,Tam Aktarma,BAGCILAR,M3,ISTOC
2020-04-20,17,1,OTOYOL,AKPINAR KOYU-ARNAVUTKOY PERONLAR,Aktarma,7,7,TAM,Tam Aktarma,SARIYER,48M,
2020-04-16,8,1,OTOYOL,USKUDAR-YAVUZTURK MAHALLESI,Normal,11,11,TAM,Tam Kontur,ATASEHIR,11Y,
2020-04-16,14,1,OTOYOL,ATESTUGLA - MECIDIYEKOY,Aktarma,1,1,TAM,Tam Aktarma,FATIH,92Ş,
2020-04-03,13,2,RAYLI,KADIKOY-KARTAL,Normal,3,3,TAM,Tam Abonman,USKUDAR,M4,GOZTEPE
2020-04-16,19,1,OTOYOL,AYAZAGAKOYU - KABATAS,Normal,32,32,TAM,Tam Kontur,BAKIRKOY,41E,
2020-04-01,10,1,OTOYOL,HACI OSMAN METRO -  RUMELI FENERI,Normal,1,1,UCRETSIZ,Ucretsiz,KAGITHANE,150,
2020-04-09,8,1,OTOYOL,YENIBOSNA (KUYUMCUKENT) - BAKIRKOY,Normal,3,3,INDIRIMLI1,Tam Kontur,BAKIRKOY,98B,
2020-04-27,11,1,OTOYOL,GUZELTEPE - EMINONU,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,47Ç,
2020-04-27,12,1,OTOYOL,ATESTUGLA - BAKIRKOY,Normal,68,55,TAM,Tam Kontur,BAKIRKOY,98D,
2020-04-01,20,1,OTOYOL,KADIKOY-PENDIK,Normal,1,1,INDIRIMLI1,Indirimli Abonman,ATASEHIR,16,
2020-04-30,9,1,OTOYOL,KIPTAS VADITEPE-OLIMPIYATKOY METRO,Normal,1,1,UCRETSIZ,Ucretsiz,KAGITHANE,MK14,
2020-04-29,21,1,OTOYOL,MEHMET AKIF MAHALLESI - ZEYTINBURNU METRO,Normal,1,1,INDIRIMLI1,Tam Kontur,KUCUKCEKMECE,89M,
2020-04-26,17,1,OTOYOL,ORTAKOY-DEREBOYU- TAKSIM,Normal,1,1,INDIRIMLI1,Indirimli Kontur,SARIYER,DT1,
2020-04-22,12,2,RAYLI,KABATAS-BAGCILAR,Normal,39,36,TAM,Tam Kontur,FATIH,T1,LALELI
2020-04-16,11,2,RAYLI,HALKALI - GEBZE,Normal,1,1,TAM,Marmaray Bilet,KADIKOY,MARMARAY,SUADIYE
2020-04-18,9,1,OTOYOL,KAZLICESME - EDIRNEKAPI,Normal,2,2,INDIRIMLI1,Indirimli Abonman,FATIH,MR12,
2020-04-03,16,2,RAYLI,USKUDAR-CEKMEKOY,Aktarma,4,4,TAM,Tam Aktarma,USKUDAR,M5,ALTUNIZADE 2
2020-04-04,20,1,OTOYOL,K.S.S HASTANESI-B.CEKMECE DEVLET HASTANESI,Normal,1,1,UCRETSIZ,Ucretsiz,KUCUKCEKMECE,142B,
2020-04-14,14,3,DENİZ,CUBUKLU-ISTINYE,Normal,2,2,TAM,Tam Kontur,BEYKOZ,CUBUKLU-IST,CUBUKLU ARABALI
2020-04-30,14,1,OTOYOL,AKSEMSETTIN  - SISLI,Normal,6,6,UCRETSIZ,Ucretsiz,KAGITHANE,49A,
2020-04-14,15,1,OTOYOL,POLIGON MAH.RESITPASA-KARANFILDERE- KABATAS,Aktarma,8,8,TAM,Tam Aktarma,SARIYER,58A,
2020-04-02,11,2,RAYLI,TOPKAPI-HABIBLER,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Kontur,SULTANGAZI,T4,YENIMAHALLE
2020-04-10,18,1,OTOYOL,KAYASEHIR-YENIBOSNA METRO,Normal,1,1,TAM,Tam Kontur,FATIH,79F,
2020-04-28,16,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,9,9,TAM,Tam Abonman,AVCILAR,34,AVCILAR MRK.UNV.KAMP.
2020-04-25,17,1,OTOYOL,FERIKOY-YENIKAPI,Normal,1,1,TAM,Tam Abonman,KAGITHANE,70FY,
2020-04-05,18,1,OTOYOL,INKILAP MAH.-KADIKOY,Aktarma,3,3,TAM,Tam Aktarma,BAKIRKOY,14DK,
2020-04-18,6,1,OTOYOL,NISANTEPE-YAMANEVLER METRO,Normal,3,3,TAM,Tam Kontur,KARTAL,ÇM44,
2020-04-15,8,1,OTOYOL,AYDINLI TOKI-KARTAL METRO,Normal,4,4,UCRETSIZ,Ucretsiz,BAKIRKOY,KM11,
2020-04-13,11,1,OTOYOL,ZEYTINBURNU-TAKSIM,Normal,2,1,UCRETSIZ,Ucretsiz,BAKIRKOY,93T,
2020-04-15,16,1,OTOYOL,USKUDAR-ALEMDAR,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,PENDIK,11A,
2020-04-21,15,2,RAYLI,YENIKAPI - HACIOSMAN,Normal,25,25,INDIRIMLI1,Indirimli Abonman,SISLI,M2,ITU GUNEY
2020-04-28,11,2,RAYLI,KABATAS-BAGCILAR,Normal,1,1,UCRETSIZ,Ucretsiz,FATIH,T1,BEYAZIT
2020-04-20,20,1,OTOYOL,SANCAKTEPE - YAMANEVLER METRO,Aktarma,3,3,TAM,Tam Aktarma,ATASEHIR,UM60,
2020-04-16,14,1,OTOYOL,KADIKOY-ALEMDAG,Normal,137,123,TAM,Tam Kontur,BAKIRKOY,14A,
2020-04-06,19,2,RAYLI,KADIKOY-KARTAL,Normal,5,5,TAM,Tam Abonman,KARTAL,M4,KARTAL (BATI)
2020-04-03,20,1,OTOYOL,GAZIOSMANPASA - SISLI,Normal,3,3,TAM,Tam Abonman,BAKIRKOY,55,
2020-04-30,16,1,OTOYOL,BASAKSEHIR 4 -1. ETAPLAR - TAKSIM,Aktarma,36,36,TAM,Tam Aktarma,BAKIRKOY,89C,
2020-04-01,13,2,RAYLI,YENIKAPI - HACIOSMAN,Aktarma,1,1,TAM,Tam Aktarma,SARIYER,M2,DARUSSAFAKA
2020-04-30,13,1,OTOYOL,GAZIOSMANPASA - SISLI,Normal,20,20,UCRETSIZ,Ucretsiz,BAKIRKOY,55,
2020-04-16,17,1,OTOYOL,RUMELIHISARUSTU-SARIYER,Normal,1,1,TAM,Tam Abonman,SARIYER,59RS,
2020-04-01,10,1,OTOYOL,TEPEKENT-AVCILAR METROBUS,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,401T,
2020-04-13,12,2,RAYLI,LEVENT-HISAR USTU,Normal,2,2,TAM,Tam Kontur,SISLI,M6,LEVENT DOGU KONKORS
2020-04-02,7,1,OTOYOL,YENISEHIR-MARMARA UNI.-KARTAL METRO/CEVIZLI PERONLAR,Normal,1,1,UCRETSIZ,Ucretsiz,KARTAL,KM29,
2020-04-17,15,1,OTOYOL,KOCAMUSTAFAPASA - EMINONU,Normal,2,2,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,35,
2020-04-09,16,1,OTOYOL,KAYASEHIR-YENIBOSNA METRO,Normal,5,5,TAM,Tam Abonman,PENDIK,79F,
2020-04-17,18,1,OTOYOL,ALEMDAR-ZIVERBEY-KADIKOY,Normal,7,7,TAM,Tam Abonman,ATASEHIR,14AK,
2020-04-16,5,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,UCRETSIZ,Ucretsiz,KUCUKCEKMECE,34,BESYOL
2020-04-03,7,1,OTOYOL,SEYRANTEPE-GULTEPE-PERPA,Normal,3,3,TAM,Tam Abonman,SARIYER,65A,
2020-04-05,8,1,OTOYOL,SULTANBEYLI-UZUNDERE-KARTAL,Normal,2,2,TAM,Tam Kontur,KARTAL,132Z,
2020-04-30,14,1,OTOYOL,BEYLIKDUZU-TAKSIM(CIFT KATLI),Normal,42,41,TAM,Tam Kontur,BAKIRKOY,145T,
2020-04-08,16,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,UCRETSIZ,Ucretsiz,AVCILAR,34,IBB SOSYAL TESISLER
2020-04-03,12,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,PERSONEL,Tam Kontur,BESIKTAS,34,ZINCIRLIKUYU 2
2020-04-17,18,1,OTOYOL,DRAMAN - EMINONU,Normal,6,6,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,90,
2020-04-21,6,1,OTOYOL,GAZIOSMANPASA -TAKSIM,Normal,5,5,UCRETSIZ,Ucretsiz,BAKIRKOY,55T,
2020-04-22,16,1,OTOYOL,AYAZAGA KOYU-ISTINYE-SARIYER,Normal,8,5,TAM,Tam Kontur,SARIYER,41C,
2020-04-07,6,1,OTOYOL,YESILPINAR-EMINONU,Normal,4,4,TAM,Tam Kontur,KAGITHANE,47,
2020-04-17,17,2,RAYLI,YENIKAPI - HACIOSMAN,Normal,54,44,TAM,Tam Kontur,FATIH,M2,VEZNECILER GUNEY
2020-04-03,17,2,RAYLI,YENIKAPI - HAVALIMANI,Normal,14,14,TAM,Tam Abonman,BAKIRKOY,M1,ZEYTINBURNU
2020-04-02,8,2,RAYLI,YENIKAPI - HAVALIMANI,Normal,13,13,UCRETSIZ,Ucretsiz,FATIH,M1,YENIKAPI
2020-04-14,16,1,OTOYOL,KADIKOY-MARMARA EGT.ARS.HAST-KURTKOY,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Kontur,BAKIRKOY,16KH,
2020-04-05,9,1,OTOYOL,KARADENIZ MAHALLESI - BEYAZIT,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,36,
2020-04-17,16,2,RAYLI,KIRAZLI-BASAKSEHIR/METROKENT,Normal,1,1,TAM,Tam Abonman,BASAKSEHIR,M3,BASAK KONUTLARI
2020-04-30,13,1,OTOYOL,CEVATPASA - TAKSIM,Normal,1,1,UCRETSIZ,Ucretsiz,SARIYER,32T,
2020-04-08,22,2,RAYLI,HALKALI - GEBZE,Normal,3,3,TAM,Tam Kontur,GEBZE,MARMARAY,GEBZE-1
2020-04-20,18,2,RAYLI,YENIKAPI - HAVALIMANI,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,FATIH,M1,YENIKAPI
2020-04-17,10,2,RAYLI,YENIKAPI - HAVALIMANI,Normal,12,12,INDIRIMLI1,Indirimli Abonman,ESENLER,M1,TERAZIDERE
2020-04-09,12,1,OTOYOL,KADIKOY-ALEMDAG,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,14A,
2020-04-07,18,1,OTOYOL,KADIKOY-BEYKOZ,Normal,19,18,TAM,Tam Kontur,BAKIRKOY,15BK,
2020-04-03,17,2,RAYLI,YENIKAPI - HACIOSMAN,Aktarma,7,7,TAM,Tam Aktarma,SARIYER,M2,HACIOSMAN 2 KUZEY
2020-04-04,17,2,RAYLI,HALKALI - GEBZE,Aktarma,3,3,TAM,Tam Aktarma,MALTEPE,MARMARAY,SUREYYA PLAJI
2020-04-22,12,1,OTOYOL,KADIKOY-UMRANIYE TEPEUSTU,Normal,1,1,INDIRIMLI1,Tam Kontur,BAKIRKOY,20Ü,
2020-04-04,17,2,RAYLI,HALKALI - GEBZE,Normal,177,172,TAM,Tam Kontur,TUZLA,MARMARAY,ICMELER
2020-04-15,19,1,OTOYOL,KADIKOY-BEYKOZ,Normal,2,2,TAM,Tam Kontur,BEYKOZ,15F,
2020-04-02,10,1,OTOYOL,RESITPASA-4.LEVENT METRO,Normal,2,2,TAM,Tam Kontur,SARIYER,29B,
2020-04-29,10,1,OTOYOL,GOKTURK KOYU-4. LEVENT METRO ,Normal,6,6,INDIRIMLI1,Indirimli Abonman,SARIYER,48L,
2020-04-22,22,1,OTOYOL,AKSEMSETTIN  - SISLI,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,KAGITHANE,49A,
2020-04-04,20,1,OTOYOL,DELIKLI KAYA - ARNAVUTKOY,Normal,1,1,INDIRIMLI1,Tam Kontur,SARIYER,36D,
2020-04-29,18,1,OTOYOL,CIRCIR METRO/YILDIZTABYA - VEZNECILER,Aktarma,1,1,INDIRIMLI2,Indirimli Tip 2 Aktarma,BAKIRKOY,37Y,
2020-04-27,16,1,OTOYOL,FERHATPASA–UMRANIYEMETRO-CAMLICACAMII,Normal,1,1,PERSONEL,Tam Kontur,BAKIRKOY,320,
2020-04-06,16,1,OTOYOL,USKUDAR-EMNIYET MAHALLESI,Normal,1,1,INDIRIMLI1,Indirimli Kontur,ATASEHIR,11C,
2020-04-02,20,1,OTOYOL,BOSTANCI-U.MUMCU MAH,Normal,1,1,UCRETSIZ,Ucretsiz,KARTAL,17S,
2020-04-17,14,1,OTOYOL,GAYRETTEPE - EMINONU,Normal,3,3,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,74A,
2020-04-10,15,1,OTOYOL,YENISEHIR-KARTAL METRO,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Kontur,BAKIRKOY,KM25,
2020-04-06,8,1,OTOYOL,KIPTAS VADITEPE/ISPARTAKULE-BAKIRKOY,Normal,2,2,UCRETSIZ,Ucretsiz,KUCUKCEKMECE,76V,
2020-04-07,12,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,3,3,UCRETSIZ,Ucretsiz,SISLI,34,MECIDIYEKOY
2020-04-01,8,1,OTOYOL,TASOLUK-CEBECI MAH.,Normal,1,1,UCRETSIZ,Ucretsiz,KUCUKCEKMECE,336T,
2020-04-16,8,1,OTOYOL,BAGCILAR D.HST-CINCINDERE CAD-MECIDIYEKOY,Normal,1,1,INDIRIMLI1,Tam Kontur,SARIYER,33ÇM,
2020-04-29,13,1,OTOYOL,IHLAS MARMARA EVLERI-ZEYTINBURNU METRO,Aktarma,1,1,INDIRIMLI2,Indirimli Tip 2 Aktarma,KUCUKCEKMECE,145,
2020-04-04,11,1,OTOYOL,V.KARANI-YAKACIK-KARTAL,Normal,7,7,TAM,Tam Kontur,ATASEHIR,131V,
2020-04-08,9,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,9,9,TAM,Tam Kontur,ESENYURT,34,BEYKENT
2020-04-09,14,1,OTOYOL,KADIKOY-BEYKOZ,Normal,2,2,INDIRIMLI1,Indirimli Kontur,KUCUKCEKMECE,15F,
2020-04-05,8,1,OTOYOL,YUZYIL MH.-EMINONU,Normal,3,3,UCRETSIZ,Ucretsiz,BAKIRKOY,33Y,
2020-04-14,10,1,OTOYOL,ZUBEYDE HANIM MAHALLESI-BEYAZIT,Normal,2,2,TAM,Tam Kontur,SARIYER,38Z,
2020-04-04,14,1,OTOYOL,ESENKENT ESENYURT - AVCILAR METROBUS,Normal,4,4,TAM,Tam Abonman,KUCUKCEKMECE,142A,
2020-04-06,8,2,RAYLI,KABATAS-BAGCILAR,Normal,8,8,TAM,Tam Kontur,ZEYTINBURNU,T1,AKSEMSETTIN
2020-04-23,19,2,RAYLI,YENIKAPI - HAVALIMANI,Normal,7,6,TAM,Tam Kontur,BAKIRKOY,M1,YENIBOSNA
2020-04-04,21,1,OTOYOL,BOGAZKOY MAH.- AVCILAR METROBUS,Normal,2,2,UCRETSIZ,Ucretsiz,BAKIRKOY,142,
2020-04-20,18,2,RAYLI,HALKALI - GEBZE,Aktarma,9,9,TAM,Tam Aktarma,FATIH,MARMARAY,SIRKECI-1
2020-04-07,16,1,OTOYOL,YUNUS EMRE MAHALLESI. - SISLI,Normal,11,11,UCRETSIZ,Ucretsiz,BAKIRKOY,49G,
2020-04-07,22,1,OTOYOL,ORTACESME-KAVACIK-CAVUSBASI-UMRANIYE DEV.HST,Normal,7,6,TAM,Tam Kontur,BEYKOZ,20,
2020-04-14,16,1,OTOYOL,KAYABASI KIPTAS-KAYASEHIR-EMINONU,Normal,5,5,INDIRIMLI1,Indirimli Abonman,SARIYER,79E,
2020-04-19,17,1,OTOYOL,G.O.PASA FIZIK TED.HST-KOCATEPE METRO,Normal,1,1,INDIRIMLI1,Indirimli Abonman,SARIYER,HT5,
2020-04-24,10,1,OTOYOL,UMR.DEVLET HST.-C.BASI-KAVACIK,Normal,1,1,TAM,Tam Abonman,SARIYER,11ÇB,
2020-04-01,13,1,OTOYOL,CAGLAYAN - EMINONU,Normal,13,11,TAM,Tam Kontur,BAKIRKOY,46Ç,
2020-04-06,12,2,RAYLI,YENIKAPI - HACIOSMAN,Aktarma,7,7,TAM,Tam Aktarma,SISLI,M2,SISLI 2 KUZEY
2020-04-01,10,2,RAYLI,YENIKAPI - HACIOSMAN,Normal,43,43,INDIRIMLI1,Indirimli Abonman,SISLI,M2,SISLI 2 KUZEY
2020-04-16,14,1,OTOYOL,SULTANBEYLI-MECIDIYEKOY,Normal,1,1,TAM,Tam Kontur,BAKIRKOY,522ST,
2020-04-19,20,1,OTOYOL,BASAKSEHIR 4 -1. ETAPLAR - TAKSIM,Normal,2,2,INDIRIMLI1,Indirimli Abonman,KUCUKCEKMECE,89C,
2020-04-23,18,1,OTOYOL,TASDELEN-IMES-UMRANIYE-BEREKET SITESI,Normal,24,23,TAM,Tam Kontur,ATASEHIR,131T,
2020-04-29,19,1,OTOYOL,HILAL KONUTLARI - TEPEUSTU,Normal,1,1,TAM,Tam Kontur,ATASEHIR,131H,
2020-04-27,19,1,OTOYOL,HILAL KONUTLARI-PENDIK METRO/YHT,Normal,1,1,INDIRIMLI1,Indirimli Abonman,KARTAL,KM37,
2020-04-27,14,1,OTOYOL,ADEM YAVUZ MAH-ZIVERBEY-KADIKOY,Normal,1,1,INDIRIMLI1,Indirimli Kontur,ATASEHIR,14B,
2020-04-04,10,1,OTOYOL, KARTAL-AYDOS HILAL KONUTLARI,Normal,5,5,TAM,Tam Kontur,BAKIRKOY,134,
2020-04-22,16,1,OTOYOL,GULTEPE - SISLI,Normal,53,49,TAM,Tam Kontur,BAKIRKOY,65G,
2020-04-27,12,1,OTOYOL,HALKALI ISTASYON - EMINONU,Normal,3,3,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,BN1,
2020-04-29,15,1,OTOYOL,HALKALI EGT.ARS.HAST - BAKIRKOY,Normal,4,4,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,98AB,
2020-04-05,14,1,OTOYOL,KARTAL-VEYSELKARANI MAH,Normal,3,2,UCRETSIZ,Ucretsiz,BAKIRKOY,132P,
2020-04-17,14,2,RAYLI,YENIKAPI - HACIOSMAN,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,SISLI,M2,OSMANBEY KUZEY
2020-04-30,18,2,RAYLI,KIRAZLI-BASAKSEHIR/METROKENT,Normal,12,12,INDIRIMLI1,Indirimli Abonman,BAGCILAR,M3,MAHMUTBEY
2020-04-01,19,1,OTOYOL,BOGAZKOY MH.-BAHCESEHIR-BAKIRKOY,Normal,3,3,TAM,Tam Kontur,KUCUKCEKMECE,146,
2020-04-06,18,1,OTOYOL,KIRAZLITEPE-USKUDAR,Normal,3,3,INDIRIMLI1,Indirimli Abonman,BEYKOZ,15K,
2020-04-13,6,1,OTOYOL,YENIDOGAN-MARMARA UNIVERSITESI BASIBUYUK KAMPUSU,Normal,2,2,TAM,Tam Kontur,ATASEHIR,132YB,
2020-04-16,17,1,OTOYOL,SULTANBYLI-ORMAN CAD.-UMRANIYE,Normal,1,1,INDIRIMLI1,Indirimli Kontur,ATASEHIR,131Ü,
2020-04-15,11,1,OTOYOL,ZUMRUTEVLER - HUZUREVI-MALTEPE,Normal,3,3,TAM,Tam Kontur,SANCAKTEPE,KM43,
2020-04-01,18,1,OTOYOL,ICMELER-KARTAL METRO,Normal,3,3,INDIRIMLI1,Indirimli Abonman,KARTAL,KM10,
2020-04-13,20,1,OTOYOL,KARTAL-VEYSELKARANI MAH,Aktarma,3,3,TAM,Tam Aktarma,BAKIRKOY,132P,
2020-04-06,7,2,RAYLI,HALKALI - GEBZE,Normal,5,5,UCRETSIZ,Ucretsiz,USKUDAR,MARMARAY,USKUDAR-1
2020-04-15,6,1,OTOYOL,SULTANBEYLI GOLET-HAREM USKUDAR,Normal,13,13,INDIRIMLI1,Indirimli Abonman,PENDIK,18Ü,
2020-04-09,10,2,RAYLI,TOPKAPI-HABIBLER,Normal,1,1,TAM,Tam Abonman,SULTANGAZI,T4,MESCIDI SELAM
2020-04-22,14,1,OTOYOL,TEPEUSTU-MECIDIYEKOY,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,122C,
2020-04-16,14,1,OTOYOL,CIRCIR METRO/IMAR - SISLI,Normal,1,1,UCRETSIZ,Ucretsiz,SARIYER,49B,
2020-04-17,18,1,OTOYOL,AYAZAGA KOYU-ISTINYE-SARIYER,Normal,1,1,INDIRIMLI1,Indirimli Kontur,SARIYER,41C,
2020-04-01,20,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Tam Kontur,BEYLIKDUZU,34,CUMHURIYET MAHALLESI
2020-04-07,15,2,RAYLI,KABATAS-BAGCILAR,Normal,1,1,INDIRIMLI1,Tam Kontur,FATIH,T1,CAPA
2020-04-03,9,1,OTOYOL,BAHCEKOY-TAKSIM,Normal,2,2,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,42T,
2020-04-21,13,1,OTOYOL,KADIKOY-GOZTEPE,Aktarma,1,1,INDIRIMLI2,Indirimli Tip 2 Aktarma,SANCAKTEPE,GZ1,
2020-04-16,12,2,RAYLI,HALKALI - GEBZE,Normal,3,3,INDIRIMLI2,Indirimli Tip 2 Kontur,KADIKOY,MARMARAY,ERENKOY
2020-04-08,15,1,OTOYOL,GUNESLI-EMINONU,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,97GE,
2020-04-10,10,1,OTOYOL,GUNESLI - BEYAZIT,Normal,2,2,UCRETSIZ,Ucretsiz,KUCUKCEKMECE,97,
2020-04-01,14,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,4,4,UCRETSIZ,Ucretsiz,SISLI,34,CAGLAYAN
2020-04-25,7,1,OTOYOL,CIRCIR METRO/IMAR - SISLI,Normal,1,1,TAM,Tam Kontur,KAGITHANE,49B,
2020-04-23,9,1,OTOYOL,AYAZAGA GARAJI-4.LEVENT METRO,Aktarma,1,1,INDIRIMLI2,Indirimli Tip 2 Aktarma,SARIYER,41SM,
2020-04-27,18,1,OTOYOL,BINEVLER - MASLAK,Normal,4,4,TAM,Tam Abonman,KAGITHANE,47L,
2020-04-13,8,1,OTOYOL,GAZIOSMANPASA -TAKSIM,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,55T,
2020-04-28,11,1,OTOYOL,SULTANBEYLI(GOLET)- KADIKOY,Normal,10,9,TAM,Tam Kontur,ATASEHIR,18K,
2020-04-07,10,1,OTOYOL,GIYIMKENT - T.REIS - MECIDIYEKOY,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Kontur,SARIYER,33M,
2020-04-17,15,1,OTOYOL,KADIKOY-ESENEVLER,Aktarma,2,2,INDIRIMLI1,Indirimli Aktarma,BAKIRKOY,8E,
2020-04-03,19,1,OTOYOL,KADIKOY-ESENEVLER,Normal,7,6,TAM,Tam Kontur,BAKIRKOY,8E,
2020-04-20,19,1,OTOYOL,USKUDAR-YENI MAHALLE,Normal,1,1,UCRETSIZ,Ucretsiz,ATASEHIR,15Y,
2020-04-28,16,1,OTOYOL,KUCUKCEKMECE FATIH MAH.-BAKIRKOY,Normal,1,1,INDIRIMLI1,Indirimli Kontur,KUCUKCEKMECE,98TB,
2020-04-17,20,1,OTOYOL,BASAKSEHIR METROKENT-MECIDIYEKOY,Normal,31,30,TAM,Tam Kontur,PENDIK,78M,
2020-04-27,19,1,OTOYOL,SILIVRI-TUYAP,Normal,1,1,INDIRIMLI1,Tam Kontur,KUCUKCEKMECE,300,
2020-04-06,8,2,RAYLI,USKUDAR-CEKMEKOY,Normal,20,20,INDIRIMLI1,Indirimli Abonman,UMRANIYE,M5,ALTINSEHIR
2020-04-28,15,1,OTOYOL,BAHCEKOY-HACIOSMAN METRO,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Kontur,BAKIRKOY,42HM,
2020-04-10,23,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,UCRETSIZ,Ucretsiz,ESENYURT,34,BEYLIKDUZU BELEDIYESI
2020-04-01,12,2,RAYLI,YENIKAPI - HACIOSMAN,Normal,9,9,INDIRIMLI1,Indirimli Abonman,KAGITHANE,M2,4 LEVENT 2 GUNEY
2020-04-03,22,2,RAYLI,YENIKAPI - HAVALIMANI,Normal,2,2,INDIRIMLI1,Indirimli Kontur,BAYRAMPASA,M1,OTOGAR
2020-04-15,10,1,OTOYOL,YESILKOY - TAKSIM,Aktarma,13,13,TAM,Tam Aktarma,BAKIRKOY,72T,
2020-04-05,11,2,RAYLI,USKUDAR-CEKMEKOY,Normal,1,1,UCRETSIZ,Ucretsiz,USKUDAR,M5,BULGURLU
2020-04-07,12,2,RAYLI,KADIKOY-KARTAL,Normal,1,1,INDIRIMLI1,Indirimli Abonman,KARTAL,M4,HASTANE (BATI)
2020-04-22,18,1,OTOYOL,EMINONU -KULAKSIZ,Normal,6,6,TAM,Tam Kontur,BAKIRKOY,EM2,
2020-04-03,8,1,OTOYOL,KADIKOY-SIFA MAHALLESI,Normal,1,1,PERSONEL,Tam Kontur,BAKIRKOY,130Ş,
2020-04-06,18,2,RAYLI,KADIKOY-KARTAL,Normal,3,3,INDIRIMLI1,Indirimli Abonman,KADIKOY,M4,BOSTANCI
2020-04-16,16,2,RAYLI,TOPKAPI-HABIBLER,Aktarma,1,1,INDIRIMLI2,Indirimli Tip 2 Aktarma,GAZIOSMANPASA,T4,BEREC
