transition_date,transition_hour,transport_type_id,road_type,line,transfer_type,number_of_passage,number_of_passenger,product_kind,transaction_type_desc,town,line_name,station_poi_desc_cd
2020-04-20,7,1,OTOYOL,KAGITHANE-CELIKTEPE-SISLI,Normal,3,3,UCRETSIZ,Ucretsiz,SARIYER,64Ç,
2020-04-29,15,1,OTOYOL,KARTAL-VEYSELKARANI MAH,Normal,3,3,INDIRIMLI2,Indirimli Tip 2 Kontur,BAKIRKOY,132P,
2020-04-13,10,1,OTOYOL,FERHATPASA–UMRANIYEMETRO-CAMLICACAMII,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,320,
2020-04-28,15,3,DENİZ,IC HATLAR,Normal,5,5,UCRETSIZ,Ucretsiz,USKUDAR,DT-İST,USKUDAR
2020-04-04,17,1,OTOYOL,USKUDAR-UNALAN MAHALLESI,Normal,3,3,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,11Ü,
2020-04-17,14,3,DENİZ,CUBUKLU-ISTINYE,Normal,2,2,TAM,Tam Abonman,BEYKOZ,CUBUKLU-IST,CUBUKLU ARABALI
2020-04-13,18,1,OTOYOL,DELIKLI KAYA - ARNAVUTKOY,Normal,3,3,TAM,Tam Kontur,KAGITHANE,36D,
2020-04-06,15,1,OTOYOL,KADIKOY-KAYISDAGI MAHALLESI,Normal,2,2,INDIRIMLI1,Tam Kontur,BAKIRKOY,19,
2020-04-01,9,1,OTOYOL,FERHATPASA–UMRANIYEMETRO-CAMLICACAMII,Aktarma,1,1,INDIRIMLI2,Indirimli Tip 2 Aktarma,BAKIRKOY,320,
2020-04-02,16,1,OTOYOL,YESILTEPE-CEKMEKOY-KARTAL,Normal,1,1,TAM,Tam Kontur,ATASEHIR,132ÇK,
2020-04-23,9,2,RAYLI,YENIKAPI - HAVALIMANI,Normal,8,8,TAM,Tam Kontur,BAGCILAR,M1,BAGCILAR MEYDAN
2020-04-18,9,3,DENİZ,USKUDAR-EMINONU,Aktarma,1,1,TAM,Tam Aktarma,USKUDAR,USKUDAR-EMN,USKUDAR
2020-04-16,8,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,UCRETSIZ,Ucretsiz,BESIKTAS,34,ZINCIRLIKUYU 2
2020-04-27,12,1,OTOYOL,FERHATPASA–UMRANIYEMETRO-CAMLICACAMII,Aktarma,10,10,TAM,Tam Aktarma,BAKIRKOY,320,
2020-04-13,10,2,RAYLI,YENIKAPI - HAVALIMANI,Aktarma,15,15,TAM,Tam Aktarma,EYUPSULTAN,M1,BAYRAMPASA
2020-04-10,6,2,RAYLI,HALKALI - GEBZE,Normal,2,2,TAM,Tam Abonman,KARTAL,MARMARAY,YUNUS
2020-04-01,7,2,RAYLI,KADIKOY-KARTAL,Aktarma,1,1,TAM,Tam Aktarma,PENDIK,M4,TAVSANTEPE (BATI)
2020-04-27,8,2,RAYLI,YENIKAPI - HACIOSMAN,Normal,1,1,UCRETSIZ,Ucretsiz,FATIH,M2,VEZNECILER GUNEY
2020-04-03,16,1,OTOYOL,EYUP UCSEHITLER-TAKSIM,Normal,8,7,TAM,Tam Kontur,KAGITHANE,55ET,
2020-04-20,17,1,OTOYOL,KIRAC-AVCILAR METROBUS,Normal,3,3,INDIRIMLI1,Tam Kontur,KUCUKCEKMECE,429A,
2020-04-16,18,1,OTOYOL,YEDITEPE UNIV./FINDIKLI MAHALLESI - KOZYATAGI METRO,Normal,1,1,INDIRIMLI1,Indirimli Abonman,SANCAKTEPE,16YK,
2020-04-28,7,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,34,FLORYA
2020-04-10,21,1,OTOYOL,HADIMKOY- YENIBOSNA METRO,Normal,7,5,TAM,Tam Kontur,KUCUKCEKMECE,HT18,
2020-04-01,13,2,RAYLI,YENIKAPI - HAVALIMANI,Normal,4,4,TAM,Tam Kontur,ESENLER,M1,MENDERES
2020-04-01,13,2,RAYLI,KABATAS-BAGCILAR,Normal,1,1,UCRETSIZ,Ucretsiz,FATIH,T1,AKSARAY
2020-04-12,7,2,RAYLI,HALKALI - GEBZE,Aktarma,2,2,TAM,Tam Aktarma,USKUDAR,MARMARAY,USKUDAR-1
2020-04-01,18,1,OTOYOL,PENDIK-GOCBEYLI,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Kontur,ATASEHIR,133GP,
2020-04-08,20,1,OTOYOL,SULTANBEYLI(M.SINAN)-ADLIYE-KARTAL DEV.HST,Normal,2,2,UCRETSIZ,Ucretsiz,BAKIRKOY,132M,
2020-04-22,12,1,OTOYOL,CEBECI MAHALLESI-MECIDIYEKOY,Normal,1,1,UCRETSIZ,Ucretsiz,FATIH,36M,
2020-04-10,23,1,OTOYOL,RUMELI KAVAGI - HACI OSMAN METRO,Normal,1,1,TAM,Tam Kontur,SARIYER,25A,
2020-04-01,10,1,OTOYOL,MEDENIYET UNV.-PENDIK METRO YHT,Normal,2,2,INDIRIMLI1,Indirimli Abonman,KARTAL,KM18,
2020-04-14,13,1,OTOYOL,YESILKOY - TAKSIM,Normal,24,21,TAM,Tam Kontur,BAKIRKOY,72T,
2020-04-09,12,1,OTOYOL,SULTANBEYLI-MECIDIYEKOY,Normal,15,15,UCRETSIZ,Ucretsiz,BAKIRKOY,522ST,
2020-04-10,5,2,RAYLI,YENIKAPI - HACIOSMAN,Normal,1,1,UCRETSIZ,Ucretsiz,FATIH,M2,HALIC GUNEY
2020-04-22,20,1,OTOYOL,SULTANBEYLI M.SINAN-SAMANDIRA-USKUDAR,Normal,10,10,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,320A,
2020-04-21,12,1,OTOYOL,KULAKSIZ - TAKSIM,Normal,5,5,TAM,Tam Abonman,BAKIRKOY,54K,
2020-04-23,17,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,UCRETSIZ,Ucretsiz,BESIKTAS,34,ZINCIRLIKUYU 2
2020-04-15,16,1,OTOYOL,BAHCEKOY-TAKSIM,Normal,16,16,TAM,Tam Abonman,BAKIRKOY,42T,
2020-04-05,10,2,RAYLI,KABATAS-BAGCILAR,Normal,7,7,TAM,Tam Abonman,ZEYTINBURNU,T1,ATATURK OGRENCI YURDU
2020-04-21,12,1,OTOYOL,KADIKOY-SARIGAZI-YENIDOGAN,Aktarma,25,25,TAM,Tam Aktarma,BAKIRKOY,19S,
2020-04-06,17,1,OTOYOL,USKUDAR-BEYKOZ,Normal,3,3,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,15,
2020-04-20,18,1,OTOYOL,YESILPINAR-4.LEVENT-ZINCIRLIKUYU METROBUS,Normal,2,2,INDIRIMLI1,Tam Kontur,SARIYER,49Z,
2020-04-28,12,2,RAYLI,KABATAS-BAGCILAR,Normal,17,17,INDIRIMLI1,Indirimli Abonman,FATIH,T1,CEMBERLITAS
2020-04-01,11,2,RAYLI,YENIKAPI - HACIOSMAN,Normal,5,5,TAM,Tam Abonman,SARIYER,M2,HACIOSMAN
2020-04-29,9,1,OTOYOL,GIYIMKENT / FATIH MAHALLESI - KUYUMCUKENT,Aktarma,2,2,TAM,Tam Aktarma,SARIYER,HT11,
2020-04-13,14,2,RAYLI,USKUDAR-CEKMEKOY,Normal,2,2,UCRETSIZ,Ucretsiz,UMRANIYE,M5,IMAM HATIP LISESI
2020-04-20,9,1,OTOYOL,KADIKOY-ALEMDAG,Normal,1,1,INDIRIMLI1,Indirimli Abonman,PENDIK,14A,
2020-04-06,15,1,OTOYOL,YESILPINAR MAH.EMINONU,Aktarma,3,3,TAM,Tam Aktarma,BAKIRKOY,99Y,
2020-04-07,15,1,OTOYOL,MECIDIYEKOY - GOKTURK,Aktarma,8,8,TAM,Tam Aktarma,SARIYER,48,
2020-04-14,18,1,OTOYOL,FATIH SULTAN MEHMET - KABATAS,Aktarma,11,11,TAM,Tam Aktarma,BAKIRKOY,58N,
2020-04-30,19,2,RAYLI,KADIKOY-KARTAL,Normal,4,4,INDIRIMLI1,Indirimli Abonman,KADIKOY,M4,YENISAHRA
2020-04-15,7,1,OTOYOL,YESILKOY - TAKSIM,Normal,4,4,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,72T,
2020-04-08,15,1,OTOYOL,MECIDIYEKOY - GOKTURK,Normal,5,4,TAM,Tam Kontur,KAGITHANE,48,
2020-04-07,17,1,OTOYOL,BASAKSEHIR 4 -1. ETAPLAR - TAKSIM,Normal,127,115,TAM,Tam Kontur,BAKIRKOY,89C,
2020-04-01,12,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,14,14,TAM,Tam Abonman,KADIKOY,34A,SOGUTLUCESME 1 19052021 LLEGAL KULLANIM
2020-04-21,12,1,OTOYOL,GIYIMKENT - T.REIS - EMINONU,Normal,1,1,TAM,Tam Kontur,KAGITHANE,33,
2020-04-08,12,1,OTOYOL,AKFIRAT-KARTAL,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Kontur,BAKIRKOY,133AK,
2020-04-17,15,1,OTOYOL,GAZIOSMANPASA - EMINONU,Normal,10,10,UCRETSIZ,Ucretsiz,BAKIRKOY,99A,
2020-04-28,12,2,RAYLI,YENIKAPI - HAVALIMANI,Normal,1,1,INDIRIMLI1,Indirimli Kontur,FATIH,M1,ULUBATLI
2020-04-02,11,1,OTOYOL,KADIKOY-SARIGAZI-YENIDOGAN,Normal,16,16,UCRETSIZ,Ucretsiz,BAKIRKOY,19S,
2020-04-07,17,1,OTOYOL,UMR.DEVLET HST.-C.BASI-KAVACIK,Aktarma,1,1,TAM,Tam Aktarma,SARIYER,11ÇB,
2020-04-30,17,2,RAYLI,TOPKAPI-HABIBLER,Aktarma,22,22,TAM,Tam Aktarma,GAZIOSMANPASA,T4,BEREC
2020-04-08,17,1,OTOYOL,ORNEKTEPE -TAKSIM,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Kontur,BAKIRKOY,54ÖR,
2020-04-27,15,1,OTOYOL,KOCAMUSTAFAPASA - TAKSIM,Aktarma,3,3,INDIRIMLI1,Indirimli Aktarma,BAKIRKOY,35C,
2020-04-04,0,1,OTOYOL,SILIVRI-YENIBOSNA,Normal,3,3,TAM,Tam Abonman,BAKIRKOY,303,
2020-04-21,10,1,OTOYOL,TOPKAPI - GOKTURK,Normal,5,5,INDIRIMLI1,Indirimli Kontur,SARIYER,48A,
2020-04-29,17,1,OTOYOL,ISTOC - BAKIRKOY,Normal,6,6,INDIRIMLI1,Indirimli Abonman,KUCUKCEKMECE,98M,
2020-04-29,9,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,9,9,TAM,Tam Kontur,KUCUKCEKMECE,34,CENNET MAHALLESI
